state,prov_type,prov_description,source_id,board_name,board_profession_codes,lic_prefix_in_psv,psv_row_count,routing_status
OR,LPC,Licensed Professional Counselor,OR_COUNSELORS,Oregon Board of Licensed Professional Counselors and Therapists,"LPC,LMFT","C:176, (none):5, R:4, T:1",186,CONFIGURED
OR,MST,MST,,,,T:1,1,NOT_CONFIGURED
OR,MT,Massage Therapist,,,,T:40,40,NOT_CONFIGURED
OR,MW,Midwife,,,,(none):8,8,NOT_CONFIGURED
OR,ND,Naturopathic Doctor,OR_NATUROPATH,Oregon Board of Naturopathic Medicine,ND,(none):6,6,CONFIGURED
OR,NP,Nurse Practitioner,,,,"(none):156, APRN:1",157,NOT_CONFIGURED
OR,NPB,Nurse Practitioner (Broadened),,,,(none):1,1,NOT_CONFIGURED
OR,NUT,Nutritionist,,,,(none):1,1,NOT_CONFIGURED
OR,OP,Optometrist (OP),OR_OPTOMETRY,Oregon Board of Optometry,OD,"(none):17, AT:2",19,CONFIGURED
OR,OT,Occupational Therapist,OR_OT,Oregon Occupational Therapy Licensing Board,"OT,OTA",(none):1,1,CONFIGURED
OR,PAB,Physician Assistant (Board),,,,PA:2,2,NOT_CONFIGURED
OR,PAS,Physician Assistant,OR_OMB,Oregon Medical Board,"MD,DO,PA,ACUP,POD","PA:113, (none):3",116,CONFIGURED
OR,PH,Pharmacist,,,,"MD:518, DO:95, (none):8, D:2",623,NOT_CONFIGURED
OR,PN,Practical Nurse (LPN),,,,"(none):36, L:1",37,NOT_CONFIGURED
OR,PT,Physical Therapist,OR_PT,Oregon Board of Physical Therapy,"PT,PTA",(none):68,68,CONFIGURED
OR,RNA,Registered Nurse Anesthetist,,,,(none):1,1,NOT_CONFIGURED
OR,SH,Speech-Language Pathologist,OR_SLP,Oregon Board of Examiners for Speech-Language Pathology and Audiology,"SLP,SLPA,AUD",(none):14,14,CONFIGURED
OR,ST,Speech Therapist,,,,(none):1,1,NOT_CONFIGURED
OR,SW,Social Worker,,,,"L:68, A:4, (none):1",73,NOT_CONFIGURED
PA,ABA,Applied Behavior Analyst,,,,"(none):5, BH:3",8,NOT_CONFIGURED
PA,AP,Acupuncturist,PA_PALS,Pennsylvania Licensing System (PALS) — All Boards,"MD,DO,RN,LPN,APRN,DDS,RDH,RPh,OD,DC,PT,PTA,OT,OTA,Psychologist,LCSW,SLP,AUD,LPC,MFT,LMT,DVM,DPM,Cosmetology,Funeral",AK:1,1,CONFIGURED
PA,CP,Clinical Psychologist,,,,"PS:96, PSO:1, PSYPACT:1, (none):1",99,NOT_CONFIGURED
PA,DAC,Drug & Alcohol Counselor,,,,(none):1,1,NOT_CONFIGURED
PA,DT,Dietitian/Nutritionist,,,,DN:2,2,NOT_CONFIGURED
PA,GNC,Genetic Counselor,,,,GC:1,1,NOT_CONFIGURED
PA,LPC,Licensed Professional Counselor,PA_PALS,Pennsylvania Licensing System (PALS) — All Boards,"MD,DO,RN,LPN,APRN,DDS,RDH,RPh,OD,DC,PT,PTA,OT,OTA,Psychologist,LCSW,SLP,AUD,LPC,MFT,LMT,DVM,DPM,Cosmetology,Funeral","PC:4, APC:2",6,CONFIGURED
PA,MW,Midwife,,,,"RN:5, SP:1",6,NOT_CONFIGURED
PA,NP,Nurse Practitioner,PA_PALS,Pennsylvania Licensing System (PALS) — All Boards,"MD,DO,RN,LPN,APRN,DDS,RDH,RPh,OD,DC,PT,PTA,OT,OTA,Psychologist,LCSW,SLP,AUD,LPC,MFT,LMT,DVM,DPM,Cosmetology,Funeral","SP:216, RN:154, NPPA:19, (none):3, SPO:1, MK:1, VP:1",395,CONFIGURED
PA,NPB,Nurse Practitioner (Broadened),PA_PALS,Pennsylvania Licensing System (PALS) — All Boards,"MD,DO,RN,LPN,APRN,DDS,RDH,RPh,OD,DC,PT,PTA,OT,OTA,Psychologist,LCSW,SLP,AUD,LPC,MFT,LMT,DVM,DPM,Cosmetology,Funeral","SP:4, RN:3",7,CONFIGURED
PA,NPS,Nurse Practitioner (Specialty),PA_PALS,Pennsylvania Licensing System (PALS) — All Boards,"MD,DO,RN,LPN,APRN,DDS,RDH,RPh,OD,DC,PT,PTA,OT,OTA,Psychologist,LCSW,SLP,AUD,LPC,MFT,LMT,DVM,DPM,Cosmetology,Funeral",PS:2,2,CONFIGURED
PA,OT,Occupational Therapist,PA_PALS,Pennsylvania Licensing System (PALS) — All Boards,"MD,DO,RN,LPN,APRN,DDS,RDH,RPh,OD,DC,PT,PTA,OT,OTA,Psychologist,LCSW,SLP,AUD,LPC,MFT,LMT,DVM,DPM,Cosmetology,Funeral",OC:1,1,CONFIGURED
PA,PAS,Physician Assistant,,,,MA:3,3,NOT_CONFIGURED
PA,PH,Pharmacist,PA_PALS,Pennsylvania Licensing System (PALS) — All Boards,"MD,DO,RN,LPN,APRN,DDS,RDH,RPh,OD,DC,PT,PTA,OT,OTA,Psychologist,LCSW,SLP,AUD,LPC,MFT,LMT,DVM,DPM,Cosmetology,Funeral","MD:15, OS:3, (none):1",19,CONFIGURED
PA,PN,Practical Nurse (LPN),PA_PALS,Pennsylvania Licensing System (PALS) — All Boards,"MD,DO,RN,LPN,APRN,DDS,RDH,RPh,OD,DC,PT,PTA,OT,OTA,Psychologist,LCSW,SLP,AUD,LPC,MFT,LMT,DVM,DPM,Cosmetology,Funeral","SP:44, RN:41, NPPA:2, CNS:1, (none):1",89,CONFIGURED
PA,PT,Physical Therapist,PA_PALS,Pennsylvania Licensing System (PALS) — All Boards,"MD,DO,RN,LPN,APRN,DDS,RDH,RPh,OD,DC,PT,PTA,OT,OTA,Psychologist,LCSW,SLP,AUD,LPC,MFT,LMT,DVM,DPM,Cosmetology,Funeral","PT:3, CP:1",4,CONFIGURED
PA,RNA,Registered Nurse Anesthetist,,,,RN:2,2,NOT_CONFIGURED
PA,SW,Social Worker,PA_PALS,Pennsylvania Licensing System (PALS) — All Boards,"MD,DO,RN,LPN,APRN,DDS,RDH,RPh,OD,DC,PT,PTA,OT,OTA,Psychologist,LCSW,SLP,AUD,LPC,MFT,LMT,DVM,DPM,Cosmetology,Funeral","CW:2, SW:1",3,CONFIGURED
SD,ABA,Applied Behavior Analyst,,,,(none):3,3,NOT_CONFIGURED
SD,CP,Clinical Psychologist,,,,"PSYPACT:1, (none):1",2,NOT_CONFIGURED
SD,DC,Doctor of Chiropractic,SD_CHIRO,South Dakota Board of Chiropractic Examiners,DC,(none):13,13,CONFIGURED
SD,DT,Dietitian/Nutritionist,,,,(none):2,2,NOT_CONFIGURED
SD,LPC,Licensed Professional Counselor,,,,LPCMH:1,1,NOT_CONFIGURED
SD,NP,Nurse Practitioner,,,,"CP:7, R:3",10,NOT_CONFIGURED
SD,PAS,Physician Assistant,,,,"(none):2, PA:1",3,NOT_CONFIGURED
SD,PH,Pharmacist,,,,(none):8,8,NOT_CONFIGURED
SD,PN,Practical Nurse (LPN),,,,"CP:5, R:3",8,NOT_CONFIGURED
SD,PT,Physical Therapist,SD_PT,South Dakota Board of Physical Therapy,"PT,PTA",(none):7,7,CONFIGURED
SD,RNA,Registered Nurse Anesthetist,,,,R:1,1,NOT_CONFIGURED
SD,SW,Social Worker,,,,"(none):17, LCSW:1",18,NOT_CONFIGURED
TN,ABA,Applied Behavior Analyst,,,,"(none):42, LBA:1",43,NOT_CONFIGURED
TN,AP,Acupuncturist,,,,"(none):1, AC:1",2,NOT_CONFIGURED
TN,AU,Audiologist,,,,"(none):8, A:1",9,NOT_CONFIGURED
TN,CP,Clinical Psychologist,,,,"(none):19, PS:1, P:1",21,NOT_CONFIGURED
TN,DC,Doctor of Chiropractic,,,,"(none):23, TN:1, DC:1",25,NOT_CONFIGURED
TN,DP,Doctor of Podiatric Medicine,,,,"(none):8, DPM:1",9,NOT_CONFIGURED
TN,DT,Dietitian/Nutritionist,,,,"(none):24, LDN:2",26,NOT_CONFIGURED
TN,GNC,Genetic Counselor,,,,(none):2,2,NOT_CONFIGURED
TN,LC,Licensed Counselor,,,,"(none):5, L:1, RN:1",7,NOT_CONFIGURED
TN,LPC,Licensed Professional Counselor,,,,"(none):42, LPC:2",44,NOT_CONFIGURED
TN,MT,Massage Therapist,,,,(none):9,9,NOT_CONFIGURED
TN,MW,Midwife,,,,(none):10,10,NOT_CONFIGURED
TN,NP,Nurse Practitioner,,,,"(none):425, APN:11, RN:2",438,NOT_CONFIGURED
TN,NPB,Nurse Practitioner (Broadened),,,,(none):6,6,NOT_CONFIGURED
TN,OP,Optometrist (OP),,,,(none):1,1,NOT_CONFIGURED
TN,OT,Occupational Therapist,,,,(none):19,19,NOT_CONFIGURED
TN,PAS,Physician Assistant,,,,"(none):45, PA:3",48,NOT_CONFIGURED
TN,PH,Pharmacist,,,,"(none):312, MD:2, U:1, DO:1",316,NOT_CONFIGURED
TN,PN,Practical Nurse (LPN),,,,(none):65,65,NOT_CONFIGURED
TN,PT,Physical Therapist,,,,"(none):36, CP:2",38,NOT_CONFIGURED
TN,RNA,Registered Nurse Anesthetist,,,,(none):9,9,NOT_CONFIGURED
TN,SH,Speech-Language Pathologist,,,,(none):21,21,NOT_CONFIGURED
TN,SW,Social Worker,,,,"(none):37, RN:1",38,NOT_CONFIGURED
TX,ABA,Applied Behavior Analyst,,,,(none):73,73,NOT_CONFIGURED
TX,AP,Acupuncturist,TX_MEDBOARD,Texas Medical Board,"MD,DO,PA,APRN",AC:10,10,CONFIGURED
TX,AU,Audiologist,,,,(none):7,7,NOT_CONFIGURED
TX,CP,Clinical Psychologist,,,,"(none):67, PS:1, PSYPACT:1",69,NOT_CONFIGURED
TX,DAC,Drug & Alcohol Counselor,,,,(none):8,8,NOT_CONFIGURED
TX,DC,Doctor of Chiropractic,TX_CHIRO,Texas State Board of Chiropractic Examiners,DC,"(none):66, DC:1",67,CONFIGURED
